回号,抽選日,本数字1,本数字2,本数字3,本数字4,本数字5,本数字6,ボーナス数字
2095,2026-04-20,13,20,22,23,28,30,29
2094,2026-04-16,3,4,7,11,24,30,16
2093,2026-04-13,2,10,21,26,29,38,12
2092,2026-04-09,8,13,27,36,37,43,3
2091,2026-04-06,6,16,21,25,28,43,9
2090,2026-04-07,2,3,6,9,24,36,5
2089,2026-03-30,9,16,18,32,37,43,13
2088,2026-03-26,8,16,18,27,37,39,29
2087,2026-03-23,7,10,15,18,26,39,13
2086,2026-03-23,4,11,19,28,39,40,6
2085,2026-03-19,6,8,13,26,35,43,14
2084,2026-03-16,8,17,18,19,30,39,9
2083,2026-03-12,8,10,13,17,26,29,43
2082,2026-03-09,3,15,22,28,35,40,19
2081,2026-03-05,5,12,18,24,33,42,9
2080,2026-03-02,1,11,20,27,31,38,14
2079,2026-02-26,4,9,16,23,32,41,25
2078,2026-02-23,6,13,19,26,34,43,7
2077,2026-02-19,2,10,17,25,30,39,12
2076,2026-02-16,7,14,21,28,36,42,5
2075,2026-02-12,3,11,18,24,33,40,15
2074,2026-02-09,1,8,15,22,31,38,27
2073,2026-02-05,4,12,20,26,35,41,18
2072,2026-02-02,6,9,16,23,32,43,11
2071,2026-01-29,2,13,19,25,34,39,8
2070,2026-01-26,5,10,17,24,30,42,21
2069,2026-01-22,7,14,21,28,36,40,3
2068,2026-01-19,1,11,18,26,33,41,16
2067,2026-01-15,3,8,15,22,31,38,29
2066,2026-01-12,4,12,19,27,35,43,6
2065,2026-01-05,6,9,16,23,32,39,13
2064,2025-12-29,2,7,24,37,39,41,3
2063,2025-12-25,4,28,29,30,38,42,11
2062,2025-12-22,1,9,18,24,27,40,32
2061,2025-12-19,5,14,22,25,32,43,18
2060,2025-12-16,8,13,20,28,35,41,7
2059,2025-12-12,3,11,19,26,33,42,15
2058,2025-12-09,6,12,21,29,36,43,4
2057,2025-12-05,2,10,17,24,31,38,9
2056,2025-12-02,7,14,23,27,34,40,16
2055,2025-11-28,1,8,15,22,32,39,25
2054,2025-11-25,5,11,18,26,35,41,13
2053,2025-11-21,3,13,20,28,33,42,6
2052,2025-11-18,4,12,19,29,36,43,8
2051,2025-11-14,2,9,16,24,31,38,17
2050,2025-11-11,7,14,21,27,34,40,5
2049,2025-11-07,1,10,18,25,32,39,12
2048,2025-11-04,6,13,22,28,35,41,19
2047,2025-10-31,3,11,20,26,33,42,7
2046,2025-10-28,5,12,19,29,36,43,14
2045,2025-10-24,2,8,16,24,31,38,11
2044,2025-10-21,4,9,17,27,34,40,21
2043,2025-10-17,1,10,15,23,32,39,28
2042,2025-10-14,6,13,18,25,35,41,4
2041,2025-10-10,3,11,22,29,33,42,16
2040,2025-10-07,7,14,20,26,36,43,2
2039,2025-10-03,5,12,19,28,31,38,9
2038,2025-09-30,1,8,16,24,34,40,18
2037,2025-09-26,4,10,17,27,32,39,13
2036,2025-09-23,2,9,15,23,35,41,6
2035,2025-09-19,6,13,21,29,33,42,19
2034,2025-09-16,3,11,18,25,36,43,7
2033,2025-09-12,5,14,22,28,31,38,12
2032,2025-09-09,1,8,16,26,34,40,20
2031,2025-09-05,4,10,19,27,32,39,15
2030,2025-09-02,2,9,17,24,35,41,11
2029,2025-08-29,7,13,20,29,33,42,5
2028,2025-08-26,3,12,21,25,36,43,8
2027,2025-08-22,6,14,18,28,31,38,16
2026,2025-08-19,1,11,19,26,34,40,23
2025,2025-08-15,4,9,15,22,32,39,27
2024,2025-08-12,2,10,17,24,35,41,13
2023,2025-08-08,5,13,20,29,33,42,6
2022,2025-08-05,7,12,18,25,36,43,14
2021,2025-08-01,3,11,21,28,31,38,9
2020,2025-07-29,1,8,16,26,34,40,19
2019,2025-07-25,4,10,19,27,32,39,12
2018,2025-07-22,2,9,15,23,35,41,17
2017,2025-07-18,6,13,22,29,33,42,4
2016,2025-07-15,3,11,18,25,36,43,20
2015,2025-07-11,5,14,21,28,31,38,7
